Aspect,Polarity,Summary,Review
Price and cost,Positive,".32 charge per kwh, driving gasoline is now cheaper",".32 charge per kwh, driving gasoline is now cheaper. Great location, although Tesla directions stated the location on the wrong side of the road, had to change lanes quickly.
 The gas station seems new and is very clean. A lot of food choices to keep you going"
Accessibility and Location,Positive,Great location,".32 charge per kwh, driving gasoline is now cheaper. Great location, although Tesla directions stated the location on the wrong side of the road, had to change lanes quickly.
 The gas station seems new and is very clean. A lot of food choices to keep you going"
Reliability and maintenance,Positive,The gas station seems new and is very clean,".32 charge per kwh, driving gasoline is now cheaper. Great location, although Tesla directions stated the location on the wrong side of the road, had to change lanes quickly.
 The gas station seems new and is very clean. A lot of food choices to keep you going"
Amenities and location,Positive,A lot of food choices,".32 charge per kwh, driving gasoline is now cheaper. Great location, although Tesla directions stated the location on the wrong side of the road, had to change lanes quickly.
 The gas station seems new and is very clean. A lot of food choices to keep you going"
Output: Accessibility and Availability,Negative,no chance you'll find a charger anywhere near there,"""You can't drive to Moab, no chance you'll find a charger anywhere near there.""
 
 BOOM!"
Output: Charging speed and efficiency,Neutral,(3) 40A chargers,(3) 40A chargers
Output 13: Accessibility and Amenities and Location,Negative,$3 per hour charge to enter. The sign says validated from local amenities but the cashier at Santos said this changed in 2020. You have to pay in order to charge. There are coffee shops near by that allow you to use the bathroom.,"***NO VALIDATION ***
 $3 per hour charge to enter. The sign says validated from local amenities but the cashier at Santos said this changed in 2020. You have to pay in order to charge. There are coffee shops near by that allow you to use the bathroom. ***NO VALIDATION ***"
Output: Amenities and Location,Positive,Kum n Go,"***recommended charging stop*** Not only does this spot offer 250kw of charging. It‚Äôs also next to a Kum n Go, so by the time you use the restroom, get a snack and drink your charge session is over. I constantly get the full 250kw."
Output: Accessibility and Accessibility,Negative,"parking areas are not accessible August 8 & 9, 2022","*FYI - parking areas are being resurfaced and these chargers are not accessible August 8 & 9, 2022."
Output: Accessibility,Negative,"temporarily closed, undergoing construction, dug up and completely fenced off","*Warning No Access*
 
 temporarily closed.
 The entire Sheetz facility is undergoing construction and is dug up and completely fenced off."
Output: Accessibility and Location,Positive,great little location easy to find safe and will it,"#3 Tesla charging station along our trip from Ohio to San Francisco as usual great little location easy to find safe and will itüëåüèæüë©üèæ‚Äçü¶± $7
 
 ( HyVee we are parking lot And a great little breakfast spot at 8am)"
Output 13: Accessibility and Location,Positive,right off the road easy to get to easy and easy out,"#5 Tesla charger how long are route from Ohio to San Francisco right off the road easy to get to easy and easy out hopefully soon will be able to be gone at least 200 miles distance per charge yayüôèüèæüëåüèæüë©üèæ‚Äçü¶±
 
 $13"
Output: Accessibility and Accessibility,Negative,blocking access to this charger,#Tesla needs to talk to the Peabody Hotel about blocking access to this charger. The hotel only allows its valets to charge.
Output: Amenities and Location,Positive,Starbucks and few other places 5-min walk away,~25 stalls. A lot more capacity than the charger on the other side of the freeway. The hotel is very friendly too. No complaints other than I wish it was a little closer to grab and go food. There‚Äôs a Starbucks and few other places 5-min walk away.
Accessibility and Accessibility,Positive,8 chargers,"üîã8 chargers. Works as expected. This one is based by minute. Which is odd way to bill for charging. üôÇ
 
 üöΩ You can go to bathroom in Hampton Inn (right next to it).
 
 üçî McDonalds is right next to the charger as well."
Amenities and location,Positive,"bathroom in Hampton Inn, McDonalds is right next to the charger","üîã8 chargers. Works as expected. This one is based by minute. Which is odd way to bill for charging. üôÇ
 
 üöΩ You can go to bathroom in Hampton Inn (right next to it).
 
 üçî McDonalds is right next to the charger as well."
Accessibility and Amenities,Positive,"Superchargers work as expected, The Sprinx gas station at the charges has THE CLEANEST and nicest bathroom I have seen at a gas station!, They also have trash can, can for cigarets and windshield washing station at the charger!","üîãGreat place to stop for a charge. Superchargers work as expected.
 
 üöΩ The Sprinx gas station at the charges has THE CLEANEST and nicest bathroom I have seen at a gas station!
 
 üöò They also have trash can, can for cigarets and windshield washing station at the charger!"
Output: Amenities and Location,Positive,"Chipotle, Hot Pot BBQ, Calver's, Tomen Ramen, Tropical Smoothie Cafe, Pollo Tropical","üîãNice location with plenty of places to visit. Here are few of them:
 
 Chipotle
 Hot Pot BBQ
 Calver‚Äôs
 Tomen Ramen
 Tropical Smoothie Cafe
 Polio Tropical"
Output: Accessibility and Location,Positive,Great place to charge! Close to the highway exit too!,"ü§© Great place to charge!
 Close to the highway exit too! üëç"
price and cost,Positive,$0.34 per kwhr as of 9,"$0.34 per kwhr as of 9/22/2022, which is one of cheapest rates on the I-95 corridor currently. Only downside is that Cracker Barrel is only food in walking distance, if only want a snack. But plenty empty chargers so should not have idle chargers if want a full meal"
queue and waiting time,Negative,"Only downside is that Cracker Barrel is only food in walking distance, if only want a snack","$0.34 per kwhr as of 9/22/2022, which is one of cheapest rates on the I-95 corridor currently. Only downside is that Cracker Barrel is only food in walking distance, if only want a snack. But plenty empty chargers so should not have idle chargers if want a full meal"
Availability and Accessibility,Positive,But plenty empty chargers so should not have idle chargers if want a full meal,"$0.34 per kwhr as of 9/22/2022, which is one of cheapest rates on the I-95 corridor currently. Only downside is that Cracker Barrel is only food in walking distance, if only want a snack. But plenty empty chargers so should not have idle chargers if want a full meal"
Output: price and cost,Negative,$17 for half hour of parking plus the charge rate,"$17 for half hour of parking plus the charge rate which I don't even know how much per min is the information I gathered, if so no way."
Output: price and cost,Neutral,"$20 for non-hotel guests, 2 chargers: 1 40A, 1 32 A","$20 for non-hotel guests, 2 chargers: 1 40A, 1 32 A"
Output: price and cost,Neutral,$20 per charge regardless of time or energy used.,$20 per charge regardless of time or energy used.
Output: price and cost,Negative,$25,$25/day charge to use the EV Charger.
Output: Accessibility and Amenities and Location,Positive,"Supercharger in Mountain Brook, coffee shop and restaurants within walking distance",$3 to park. I may use the Supercharger in Mountain Brook the next time I need to charge while passing through Birmingham. 8 stalls. Coffee shop and restruants within walking distance.
Output: price and cost,Positive,"$5 an hour, 150 miles $3.48 not too shabby","$5 an hour
 
 Was on 22 miles when I got in half an hour later 150 miles $3.48 not to shabby.
 
 Can‚Äôt smoke while I wait so 4 stars üòÇ"
Output: price and cost,Positive,"$6.7 for going from 12% to 50%, without the idle time fee","$6.7 for going from 12% to 50%, without the idle time fee"
Output: price and cost,Negative,"$7 to park for 30min, $10 to charge 100mi","$7 to park for 30min.
 $10 to charge 100mi.
 Not a horrible spot, typical row on top floor, but not a fan of having to pay anything above the charge rate hence the lost stars."
Output: Accessibility and Amenities and location,Positive,"0.2 miles from interstate exit, Next to convenience store, grocery store with clean bathroom, fast food, most of the chargers work","0.2 miles from interstate exit. Next to convenience store, grocery store with clean bathroom, fast food. And most of the chargers work, not all. 250kw and maybe one you can use while hauling a trailer, haven't tried it yet to be sure."
Accessibility and Amenities and Location,Positive,"Lots of Tesla Supercharger. This place is behind Benihana, next to Krispy Kreme doughnuts.","02.05.2022
 Winter Off peak price per unit 24cents before 10am Monday thru Sunday
 Lots of Tesla Supercharger. This place is behind Benihana, next to Krispy Kreme doughnuts. And next plenty more Tesla supercharger on the other side called ‚ÄòThe Veranda‚Äô which I can‚Äôt write a review.
 
 Sincerely,
 KingToFU"
Output: Amenities and Location,Positive,"beach, Walgreens, Safeway, shopping centre","02.06.2022 (Monday, 8:07am)
 Great spot. Nice city. Tesla Supercharger location adjacent to the beach. Near Walgreens, Safeway, This is a shopping centre.
 
 Price per unit 0.24"
Output: reliability and maintenance,Negative,electric lines are down due to the weather conditions,02/14/2023 3:15pm - works normally. Even it says temporary closed. Seems electric lines are down due to the weather conditions.
Output: queue and waiting time,Negative,expect to wait,"04/03/2023 Unless you're charging off-hours, expect to wait. This station is in a very busy, large supermarket parking lot. I've been here and they've had a society guard keeping order of charging turns. I generally try to avoid this location if I can."
Output: queue and waiting time,Neutral,I have waited here to charge,04/03/2023 I have waited here to charge so try to time your charging if you can. It's nice that there are good options near by. Walking around the service center to look at the cars on the lot is always fun.
Output: queue and waiting time,Positive,"never had to wait to charge here, good food options near by",04/03/2023 I've never had to wait to charge here. There are good food options near by.
Output: Accessibility and Location,Neutral,underground parking lot,04/03/2023 You have to go down into the underground parking lot to find the chargers. Never had to wait to charge here.
Output: charging speed and efficiency,Neutral,"1 and only charging point for tesla in Myrtle Beach. 150kw only. Take your time to charge your tesla a little more than what you need. The fastest one with 250kw is only available 120 miles away from this place, that's florence sc. Tesla should upgrade this to 250kw with the latest generation.","1 and only charging point for tesla in Myrtle Beach. 150kw only. Take your time to charge your tesla a little more than what you need . The fastest one with 250kw is only available 120 miles away from this place, that's florence sc. Tesla should upgrade this to 250kw with the latest generation."
Output: reliability and maintenance,Negative,1 charger not working and people waiting,"1 charger not working and people waiting, by the time you figure out it‚Äôs a dud, you have to get at the ends of line. Busy/crowded shopping mall, not my cup of tea."
Output: reliability and maintenance,Negative,1 of the 2 Chargers at TownePlace Suites in Dothan is broken and does not work,"1 of the 2 Chargers at TownePlace Suites in Dothan is broken and does not work, as of July 2022. Management has no ETA on a fix and has supposedly been down for quite some time. The front one is up, but usually occupied. Tesla charger in the back of the hotel is broken."
Output: Accessibility and Availability,Positive,1 Tesla charger and 1 Level 2 (48A),1 Tesla charger and 1 Level 2 (48A)
Output: Accessibility and Amenities and location,Positive,"1 Tesla plug + 1 third party plug, Short walk to downtown Brevard, Free :)",1 Tesla plug + 1 third party plug. Short walk to downtown Brevard. Free :)
Output: charging speed and efficiency,Negative,1 working Tesla charger (which only gives 8-10 miles,"1 working Tesla charger (which only gives 8-10 miles/hour). 1 sorta working J1772 charger as well offering ~25mph (but it would stop charging for some odd reason after an hour or two, happened twice). I would try to manually reduce the amp draw in Tesla charger settings to about 20-25amps??). Reviewed 3/14/2021"
Output: ease of use,Positive,"Plug in, Get major powah, Grab some WaWa goodness, Winner winner","1. Plug in
 2. Get major powah
 3. Grab some WaWa goodness
 4. Winner winner"
Review 1: Accessibility and Accessibility,Positive,supercharger was there,"1) Happy this supercharger was there!
 
 2) Tesla display says it's rated for 120kw but I was the only car there and was only getting 56kw, even with 20+ minutes of battery preconditioning."
Review 2: Charging speed and efficiency,Negative,only getting 56kw,"1) Happy this supercharger was there!
 
 2) Tesla display says it's rated for 120kw but I was the only car there and was only getting 56kw, even with 20+ minutes of battery preconditioning."
Output: Amenities and Location,Positive,"Dunkin' Donuts, bojangles, baskin robins, McDonald's and subway across the street","10 chargers, Dunkin‚Äô Donuts on the lot, bojangles next door, baskin robins, McDonald‚Äôs and subway across the street. Only one other Tesla here on a regular Tuesday afternoon"
Output: Charging speed and efficiency,Positive,10 kw 40 amps 240 volt,10 kw 40 amps 240 volt. 2 tesla charger and 1 j1772
Output: Charging speed and efficiency,Neutral,10 kw power flow,10 kw power flow
Output: Charging speed and efficiency,Positive,charge at 32A,10 level 2 Tesla chargers that charge at 32A/205V. They were free when I was there.
Output: Overall satisfaction,Positive,10 out of 10. Would charge again.,10 out of 10. Would charge again. üòâ
Output: queue and waiting time,Negative,stays pretty busy,10 places to hook up to. Looks like it stays pretty busy
Output: Amenities and Location,Positive,fast food restaurants,10 plus Tesla Superchargers directly off 35. Chargers are conveniently located near several fast food restaurants which makes ease to grab a quick bite to eat and to use the bathroom super easy.
Output: Amenities and Location,Positive,10 stalls 150kW. 24,10 stalls 150kW. 24/7. Thank you Tesla and heb. Excellent spot
Output: Availability and Accessibility,Positive,10 stalls and no one there,10 stalls and no one thereüòÅ 300 mile per hour charge rate on 2B. I love Tesla!
Output: Accessibility and Amenities and location,Neutral,10 stalls and one is a front in. They were resurfacing the pool parking lot 6,10 stalls and one is a front in. They were resurfacing the pool parking lot 6/6/2018 so it should be nice for a while. Don't try to go to the bathroom in the gas station they don't have one. Starbucks across the parking lot or meijer. Is your best bet. You Could go to Wallgreens cross the highway before you stop to charge as well.
Output: Accessibility and Location,Neutral,Tesla charging station here! It's right next to the front door of La quinta.,"10/29/22 There is a Tesla charging station here! It's right next to the front door of La quinta. There's only one.
 I don't know if it's working, but I guess it is. There was no indication of any problem."
Output: Charging speed and efficiency,Negative,100 KW so super slow,100 KW so super slow. If you do stop. Utica Bread is awesome for breakfast.
