ID,Manul Aspect,Aspect,Polarity,Summary,Review,Flag,Manul Aspect
1750,Customer Service,customer service,negative,Not applicable (review does not mention this aspect),This is a private place and if you are not staying there you can not charge your vehicle. It has a security gate with guard. Do not waste your time going there unless you are staying there. Wish I would have known that sooner.,0,
1751,Accessibility+Availability ,charging location,negative,Only available for guests staying at the location,This is a private place and if you are not staying there you can not charge your vehicle. It has a security gate with guard. Do not waste your time going there unless you are staying there. Wish I would have known that sooner.,0,
1752,Amenities+Location,charging speed,negative,Not applicable (review does not mention this aspect),This is a private place and if you are not staying there you can not charge your vehicle. It has a security gate with guard. Do not waste your time going there unless you are staying there. Wish I would have known that sooner.,0,
1753,Accessibility+Availability ,charging station,negative,Both stations not working,"Two Tesla charging stations. One had the charging cable zip tied which, I guess, means inop. Plugged the second one in and nothing happened.
Worthless.",0,
1754,Reliability+Maintenance,charging cable,negative,Zip tied and inop,"Two Tesla charging stations. One had the charging cable zip tied which, I guess, means inop. Plugged the second one in and nothing happened.
Worthless.",0,
1755,Reliability+Maintenance,efficiency,negative,"Nothing happened, worthless","Two Tesla charging stations. One had the charging cable zip tied which, I guess, means inop. Plugged the second one in and nothing happened.
Worthless.",0,
1756,Accessibility+Availability ,infrastructure,positive,Free charging and multiple charger options,Free charging up to 40A. Two tesla chargers and two j-1772 charger.,0,
1757,Speed+Efficiency ,capacity,positive,Up to 40A charging available,Free charging up to 40A. Two tesla chargers and two j-1772 charger.,0,
1758,Accessibility+Availability ,availability,negative,Not accessible to public,Not open to public,0,
1759,Accessibility+Availability ,charging location,negative,restricted access for non-guests,"Located on the side of Hampton Inn hotel.  A couple of charging stations.  However, be aware, you must be a guest to use the chargers.  They don't allow anyone else to come in and even pay for the time.  Guests only.",0,
1760,Accessibility+Availability ,charging station,positive,available for guests,"Located on the side of Hampton Inn hotel.  A couple of charging stations.  However, be aware, you must be a guest to use the chargers.  They don't allow anyone else to come in and even pay for the time.  Guests only.",0,
1761,Accessibility+Availability ,accessibility,negative,restricted to hotel guests only,"Located on the side of Hampton Inn hotel.  A couple of charging stations.  However, be aware, you must be a guest to use the chargers.  They don't allow anyone else to come in and even pay for the time.  Guests only.",0,
1762,Amenities+Location,infrastructure,positive,Clean and convenient location,"Nice clean charging station. There are a couple of gas stations, a motel 6, barbecue joint, and a couple of other restaurants within walking distance. Stopped by about 4 pm on a Saturday afternoon and there were still several stalls open.",0,
1763,Accessibility+Availability ,availability,positive,Several stalls open on a Saturday,"Nice clean charging station. There are a couple of gas stations, a motel 6, barbecue joint, and a couple of other restaurants within walking distance. Stopped by about 4 pm on a Saturday afternoon and there were still several stalls open.",0,
1764,Amenities+Location,amenities,positive,Gas stations and restaurants nearby,"Nice clean charging station. There are a couple of gas stations, a motel 6, barbecue joint, and a couple of other restaurants within walking distance. Stopped by about 4 pm on a Saturday afternoon and there were still several stalls open.",0,
1765,Amenities+Location,charging location,positive,conveniently located off I-10,"I have stopped at the supercharger four or five times. I have never once had to wait for a charger. They are conveniently located just off of the I-10 exit. As of December 2022, these are 250KW chargers. So they charge fairly quickly.

It is conveniently located behind a BBQ joint. The restaurant serves good food and drink, but above all has clean restrooms.

The Supercharger is also near a Dairy Queen for those who want a little treat.",0,
1766,Speed+Efficiency ,charging speed,positive,250KW chargers charge quickly,"I have stopped at the supercharger four or five times. I have never once had to wait for a charger. They are conveniently located just off of the I-10 exit. As of December 2022, these are 250KW chargers. So they charge fairly quickly.

It is conveniently located behind a BBQ joint. The restaurant serves good food and drink, but above all has clean restrooms.

The Supercharger is also near a Dairy Queen for those who want a little treat.",0,
1767,Amenities+Location,amenities,positive,clean restrooms and nearby food options,"I have stopped at the supercharger four or five times. I have never once had to wait for a charger. They are conveniently located just off of the I-10 exit. As of December 2022, these are 250KW chargers. So they charge fairly quickly.

It is conveniently located behind a BBQ joint. The restaurant serves good food and drink, but above all has clean restrooms.

The Supercharger is also near a Dairy Queen for those who want a little treat.",0,
1768,Queue+Waiting Time,availability,positive,never had to wait for a charger,"I have stopped at the supercharger four or five times. I have never once had to wait for a charger. They are conveniently located just off of the I-10 exit. As of December 2022, these are 250KW chargers. So they charge fairly quickly.

It is conveniently located behind a BBQ joint. The restaurant serves good food and drink, but above all has clean restrooms.

The Supercharger is also near a Dairy Queen for those who want a little treat.",0,
1769,Accessibility+Availability ,infrastructure,negative,Lack of proper facilities at charging station,"3/12/2023

As with most Tesla chargers, it's located near another business but doesn't have it's own bathrooms or anything so we ended up getting blizzard at DQ to use the facilities which isn't a huge sacrifice but can't wait until we get EV rest centers with proper facilities.",0,
1770,Amenities+Location,amenities,negative,No bathrooms available at charging station,"3/12/2023

As with most Tesla chargers, it's located near another business but doesn't have it's own bathrooms or anything so we ended up getting blizzard at DQ to use the facilities which isn't a huge sacrifice but can't wait until we get EV rest centers with proper facilities.",0,
1771,Amenities+Location,accessibility,negative,Need to go to nearby business for facilities,"3/12/2023

As with most Tesla chargers, it's located near another business but doesn't have it's own bathrooms or anything so we ended up getting blizzard at DQ to use the facilities which isn't a huge sacrifice but can't wait until we get EV rest centers with proper facilities.",0,
1772,Accessibility+Availability ,charging location,positive,Tesla charger available nearby,"3/12/2023

As with most Tesla chargers, it's located near another business but doesn't have it's own bathrooms or anything so we ended up getting blizzard at DQ to use the facilities which isn't a huge sacrifice but can't wait until we get EV rest centers with proper facilities.",0,
1773,Customer Service,customer service,neutral,No comment on charging service itself,"3/12/2023

As with most Tesla chargers, it's located near another business but doesn't have it's own bathrooms or anything so we ended up getting blizzard at DQ to use the facilities which isn't a huge sacrifice but can't wait until we get EV rest centers with proper facilities.",0,
1774,Amenities+Location,charging location,positive,convenient near food options,"Good location, right next to a BBQ place, McDonald's, and Dairy Queen. We've rarely had to wait for a spot.",0,
1775,Queue+Waiting Time,queue/waiting time,positive,rarely had to wait,"Good location, right next to a BBQ place, McDonald's, and Dairy Queen. We've rarely had to wait for a spot.",0,
1776,Amenities+Location,amenities,positive,near food options,"Good location, right next to a BBQ place, McDonald's, and Dairy Queen. We've rarely had to wait for a spot.",0,
1777,Amenities+Location,charging location,positive,Conveniently located off I10,Located conveniently off of I10. Able to drive direct from Birmingham AL in MS refresh long range. Plenty of food places nearby.,0,
1778,Accessibility+Availability ,accessibility,positive,Able to drive direct from Birmingham,Located conveniently off of I10. Able to drive direct from Birmingham AL in MS refresh long range. Plenty of food places nearby.,0,
1779,Amenities+Location,amenities,positive,Plenty of food places nearby,Located conveniently off of I10. Able to drive direct from Birmingham AL in MS refresh long range. Plenty of food places nearby.,0,
1780,Accessibility+Availability ,infrastructure,positive,Charged us up to continue journey,"Not much here but the main thing is it charged us up to continue our journey! No bathroom or stores nearby. Parking is kinda weird. You have to pull in more than I like so be aware not to mess up your bumper- overall a B score. Would only come if needed, else I would pass this one. We came from Seacrest Florida where there are no other superchargers other than Panama City Beach.",0,
1781,Amenities+Location,amenities,negative,No bathroom or stores nearby,"Not much here but the main thing is it charged us up to continue our journey! No bathroom or stores nearby. Parking is kinda weird. You have to pull in more than I like so be aware not to mess up your bumper- overall a B score. Would only come if needed, else I would pass this one. We came from Seacrest Florida where there are no other superchargers other than Panama City Beach.",0,
1782,Amenities+Location,charging location,negative,Parking is kinda weird,"Not much here but the main thing is it charged us up to continue our journey! No bathroom or stores nearby. Parking is kinda weird. You have to pull in more than I like so be aware not to mess up your bumper- overall a B score. Would only come if needed, else I would pass this one. We came from Seacrest Florida where there are no other superchargers other than Panama City Beach.",0,
1783,Customer Service,customer service,neutral,Overall a B score,"Not much here but the main thing is it charged us up to continue our journey! No bathroom or stores nearby. Parking is kinda weird. You have to pull in more than I like so be aware not to mess up your bumper- overall a B score. Would only come if needed, else I would pass this one. We came from Seacrest Florida where there are no other superchargers other than Panama City Beach.",0,
1784,Customer Service,availability,neutral,Would only come if needed,"Not much here but the main thing is it charged us up to continue our journey! No bathroom or stores nearby. Parking is kinda weird. You have to pull in more than I like so be aware not to mess up your bumper- overall a B score. Would only come if needed, else I would pass this one. We came from Seacrest Florida where there are no other superchargers other than Panama City Beach.",0,
1785,Accessibility+Availability ,accessibility,neutral,Came from Seacrest Florida,"Not much here but the main thing is it charged us up to continue our journey! No bathroom or stores nearby. Parking is kinda weird. You have to pull in more than I like so be aware not to mess up your bumper- overall a B score. Would only come if needed, else I would pass this one. We came from Seacrest Florida where there are no other superchargers other than Panama City Beach.",0,
